year,month,aoi_mean_precip_mm
2020,12,61.41
2021,10,10.77
2021,11,70.6
2021,12,127.63
2021,3,159.1
2021,4,116.67
2021,5,18.98
2021,6,10.42
2021,7,28.41
2021,8,3.29
2021,9,7.02
2022,1,133.63
2022,10,35.81
2022,11,73.16
2022,12,79.75
2022,2,64.54
2022,3,212.26
2022,4,99.75
2022,5,79.24
2022,6,39.4
2022,7,23.75
2022,8,9.27
2022,9,9.62
2023,1,123.92
2023,10,5.38
2023,11,18.3
2023,12,37.65
2023,2,127.78
2023,3,239.24
2023,4,85.57
2023,5,50.6
2023,6,20.42
2023,7,10.42
2023,8,5.35
2023,9,4.15
2024,1,49.12
2024,10,8.23
2024,11,34.98
2024,12,40.03
2024,2,174.43
2024,3,188.08
2024,4,188.47
2024,5,29.65
2024,6,17.9
2024,7,13.14
2024,8,4.28
2024,9,4.78
2025,1,226.3
2025,10,12.37
2025,11,23.52
2025,12,51.43
2025,2,25.05
2025,3,137.48
2025,4,92.45
2025,5,38.33
2025,6,29.7
2025,7,10.51
2025,8,5.94
2025,9,7.6
2026,1,73.74
2026,2,213.98
2026,3,174.46
